PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.15,6,0.9,0.61,51.56818182,27.81214204,67.4949039,104.6549716
0.15,6,0.9,0.7,54.54253759,27.89211342,69.76434737,80.48788521
0.15,6,0.9,0.8,57.02228777,28.82139303,78.08873239,68.06013897
0.15,11,0.5,0.37,35.77490333,16.24505534,54.48674621,577.2303723
0.15,11,0.5,0.5,42.33659177,19.36835106,58.61271832,309.863978
0.15,11,0.5,0.61,43.92615886,15.75233193,63.96766718,184.8379762
0.15,11,0.5,0.7,48.69141293,25.24575602,63.81283422,145.7444474
0.15,11,0.5,0.8,48.40658282,24.91421569,64.21765334,122.8461166
0.15,11,0.6,0.37,40.45965608,9.191331924,56.57353055,378.7702838
0.15,11,0.6,0.5,46.366608,21.29669944,64.51995605,205.9971715
0.15,11,0.6,0.61,51.04493208,25.98886329,72.50681508,119.658354
0.15,11,0.6,0.7,54.67852719,26.14919355,72.21724138,93.9869049
0.15,11,0.6,0.8,53.97265077,21.87914517,73.17681532,81.39692604
0.15,11,0.7,0.37,49.12561935,23.88015517,67.09832238,305.9476693
0.15,11,0.7,0.5,55.17503805,30.14238911,73.26622596,148.4860517
0.15,11,0.7,0.61,60.33459896,34.11038306,78.37643678,97.62422598
0.15,11,0.7,0.7,60.62030075,34.36217949,78.81847319,80.16312323
0.15,11,0.7,0.8,63.90158005,34.08018868,79.44117647,59.82721758
0.15,11,0.8,0.37,56.00358423,28.25,74.84693079,220.8256122
0.15,11,0.8,0.5,63.85127109,26.45678685,78.55190957,103.8461909
0.15,11,0.8,0.61,65.51415797,39.36423298,83.83590463,76.97272542
0.15,11,0.8,0.7,67.74193548,28.51244344,82.13824425,59.73618566
0.15,11,0.8,0.8,71.27637131,45.94850065,84.3671914,47.84205185
0.15,11,0.9,0.37,61.43478261,37.66690856,76.81800717,199.0804405
0.15,11,0.9,0.5,64.85294118,33.89285714,85.77651515,89.43032794
0.15,11,0.9,0.61,69.32806324,37.70148291,85.22553191,63.64898304
0.15,11,0.9,0.7,75,46.60887097,87.82003711,53.30891243
0.15,11,0.9,0.8,76.1208577,59.00541951,91.45601987,40.34097019
0.15,16,0.5,0.37,49.75247525,18.69940322,66.27128903,460.7930988
